flag_id,account_id,tx_id,rule_id,severity,created_at,reason
FLG-001,ACC-007,TX-0003,RUL-005,low,2026-04-03T21:01:58Z,Wash trading patterns detected in trades matching internal exchange IDs.
FLG-002,ACC-001,TX-0011,RUL-005,low,2026-04-05T21:01:02Z,Wash trading patterns detected in trades matching internal exchange IDs.
FLG-003,ACC-018,TX-0018,RUL-005,low,2026-04-07T00:45:36Z,Wash trading patterns detected in trades matching internal exchange IDs.
FLG-004,ACC-012,TX-0028,RUL-006,low,2026-04-09T20:36:36Z,High rate of trade orders submitted via API from device DEV-012B.
FLG-005,ACC-030,TX-0067,RUL-007,high,2026-04-20T08:15:30Z,Dormant account activated by a massive outbound transfer after 210 days of inactivity.
FLG-006,ACC-030,TX-0067,RUL-004,high,2026-04-20T08:15:30Z,"Transaction size ($150,000) exceeds average historical tx sizes by 500x."
FLG-007,ACC-005,TX-0077,RUL-007,med,2026-04-24T03:51:00Z,Account reactivation trade triggered after long periods of hibernation.
FLG-008,ACC-001,TX-0120,RUL-006,low,2026-05-04T12:11:49Z,High rate of trade orders submitted via API from device DEV-001B.
FLG-009,ACC-022,TX-0159,RUL-006,low,2026-05-14T06:44:21Z,High rate of trade orders submitted via API from device DEV-022A.
FLG-010,ACC-027,TX-0160,RUL-004,med,2026-05-14T08:16:59Z,Transaction of 13341.17 ETH exceeds standard risk thresholds.
FLG-011,ACC-026,TX-0161,RUL-004,med,2026-05-14T08:58:09Z,Transaction of 2152.15 USDT exceeds standard risk thresholds.
FLG-012,ACC-032,TX-0166,RUL-004,med,2026-05-15T10:53:32Z,Transaction of 3199.15 EUR exceeds standard risk thresholds.
FLG-013,ACC-011,TX-0179,RUL-007,med,2026-05-19T10:11:39Z,Account reactivation trade triggered after long periods of hibernation.
FLG-014,ACC-006,TX-0191,RUL-005,low,2026-05-22T12:23:55Z,Wash trading patterns detected in trades matching internal exchange IDs.
FLG-015,ACC-006,TX-0191,RUL-002,med,2026-05-22T12:23:55Z,IP mismatch detected: Tx from DE instead of registered account country.
FLG-016,ACC-009,TX-0221,RUL-002,med,2026-05-29T17:58:23Z,IP mismatch detected: Tx from BR instead of registered account country.
FLG-017,ACC-016,TX-0225,RUL-002,med,2026-05-30T08:22:17Z,IP mismatch detected: Tx from JP instead of registered account country.
FLG-018,ACC-001,TX-0239,RUL-004,med,2026-06-02T17:03:46Z,Transaction of 963.37 ETH exceeds standard risk thresholds.
FLG-019,ACC-010,TX-0242,RUL-001,high,2026-06-04T00:14:37Z,Triggered on multiple fiat deposits of $9k+ within a 6-hour window.
FLG-020,ACC-005,TX-0247,RUL-007,med,2026-06-05T02:50:51Z,Account reactivation trade triggered after long periods of hibernation.
FLG-021,ACC-008,TX-0263,RUL-006,low,2026-06-10T14:31:47Z,High rate of trade orders submitted via API from device DEV-008A.
FLG-022,ACC-020,TX-0280,RUL-003,high,2026-06-15T14:22:11Z,Withdrawal address matched OFAC SDN sanctioned blocklist.
FLG-023,ACC-020,TX-0280,RUL-002,med,2026-06-15T14:22:11Z,"Login session and transaction initiated from North Korea (KP), mismatching US KYC."
FLG-024,ACC-016,TX-0289,RUL-006,low,2026-06-18T02:55:51Z,High rate of trade orders submitted via API from device DEV-016A.
FLG-025,ACC-038,TX-0296,RUL-008,high,2026-06-18T23:39:43Z,Peeling chain activity: 6 rapid micro-withdrawals to unique external addresses in 30 minutes.
